"site","species","latitude","longitude","month","monthnum","year","precipitation"
"GW","ES",51.190417,11.750763,"jan","01","1881",20
"GW","ES",51.190417,11.750763,"jan","01","1882",14
"GW","ES",51.190417,11.750763,"jan","01","1883",24
"GW","ES",51.190417,11.750763,"feb","02","1881",35
"GW","ES",51.190417,11.750763,"feb","02","1882",15
"GW","ES",51.190417,11.750763,"feb","02","1883",17
"GW","ES",51.190417,11.750763,"mar","03","1881",82
"GW","ES",51.190417,11.750763,"mar","03","1882",37
"GW","ES",51.190417,11.750763,"mar","03","1883",19
"GW","ES",51.190417,11.750763,"apr","04","1881",20
"GW","ES",51.190417,11.750763,"apr","04","1882",32
"GW","ES",51.190417,11.750763,"apr","04","1883",21
"GW","ES",51.190417,11.750763,"may","05","1881",51
"GW","ES",51.190417,11.750763,"may","05","1882",54
"GW","ES",51.190417,11.750763,"may","05","1883",38
"GW","ES",51.190417,11.750763,"jun","06","1881",88
"GW","ES",51.190417,11.750763,"jun","06","1882",88
"GW","ES",51.190417,11.750763,"jun","06","1883",41
"GW","ES",51.190417,11.750763,"jul","07","1881",77
"GW","ES",51.190417,11.750763,"jul","07","1882",186
"GW","ES",51.190417,11.750763,"jul","07","1883",111
"GW","ES",51.190417,11.750763,"aug","08","1881",126
"GW","ES",51.190417,11.750763,"aug","08","1882",58
"GW","ES",51.190417,11.750763,"aug","08","1883",21
"GW","ES",51.190417,11.750763,"sep","09","1881",64
"GW","ES",51.190417,11.750763,"sep","09","1882",98
"GW","ES",51.190417,11.750763,"sep","09","1883",47
"GW","ES",51.190417,11.750763,"oct","10","1881",80
"GW","ES",51.190417,11.750763,"oct","10","1882",41
"GW","ES",51.190417,11.750763,"oct","10","1883",67
"GW","ES",51.190417,11.750763,"nov","11","1881",13
"GW","ES",51.190417,11.750763,"nov","11","1882",69
"GW","ES",51.190417,11.750763,"nov","11","1883",26
"GW","ES",51.190417,11.750763,"dec","12","1881",23
"GW","ES",51.190417,11.750763,"dec","12","1882",77
"GW","ES",51.190417,11.750763,"dec","12","1883",51
"GW","HB",51.190417,11.750763,"jan","01","1881",20
"GW","HB",51.190417,11.750763,"jan","01","1882",14
"GW","HB",51.190417,11.750763,"jan","01","1883",24
"GW","HB",51.190417,11.750763,"feb","02","1881",35
"GW","HB",51.190417,11.750763,"feb","02","1882",15
"GW","HB",51.190417,11.750763,"feb","02","1883",17
